Id,Last Update,Issue,Rider Id,Is Flex,Rider Status,Request Id,Ride type,Number Of Passengers,Ride Cost,Pricing Scheme Id,Van Id,Accepted,Pickup ETA,Dropoff ETA,Pickup Walk Duration,Internal Pickup ETA,External Pickup ETA,ETA Diff,Pricing Distance,Rider Trip Api Id
441424,10/01/2019 06:16:13,1569921353.71,48182,False,,632933,,1,670,2219,57,True,1569921806.84,1569922903.56,168,1569921806.84,1569921806.84,None,3.68 miles,
441423,10/01/2019 06:15:46,1569921344.53,30355,False,,632932,,1,670,2219,52,False,1569921591.47,1569922904.64,31,1569921591.47,1569921591.47,None,3.13 miles,
441422,10/01/2019 06:15:45,1569921343.39,26258,False,,632931,,2,720,2219,53,False,1569922407.1,1569923798.1,42,1569922407.1,1569922407.1,None,3.35 miles,
441421,10/01/2019 06:15:11,1569921309.05,40838,False,,632929,,1,860,2219,23,True,1569922363.34,1569923812.62,23,1569922363.34,1569922363.34,None,3.85 miles,
441420,10/01/2019 06:15:03,1569921302.31,53536,False,None,632930,,1,940,2219,57,False,1569921558.82,1569923299.64,215,1569921558.82,1569921558.82,None,4.87 miles,
441419,10/01/2019 06:15:08,1569921302.06,40838,False,,632929,,1,860,2219,41,False,1569922351.27,1569923800.55,23,1569922351.27,1569922351.27,None,3.85 miles,
441418,10/01/2019 06:14:52,1569921291.15,48182,False,,632928,,1,860,2219,57,False,1569921744.28,1569922841.0,176,1569921744.28,1569921744.28,None,3.72 miles,
441417,10/01/2019 06:14:47,1569921286.43,51792,False,,632927,,1,1180,2219,57,False,1569921596.05,1569923523.32,74,1569921596.05,1569921596.05,None,5.94 miles,
441416,10/01/2019 06:15:03,1569921284.08,53378,False,,632926,,1,670,2219,41,True,1569921792.73,1569922898.49,167,1569921792.73,1569921792.73,None,3.61 miles,
441415,10/01/2019 06:14:49,1569921281.04,44807,False,,632925,,3,1240,2219,42,True,1569921531.29,1569923232.22,41,1569921531.29,1569921531.29,None,5.12 miles,
441414,10/01/2019 06:14:34,1569921273.1,53518,False,None,632924,,1,940,2219,33,False,1569921911.55,1569923299.81,147,1569921911.55,1569921911.55,None,4.79 miles,
441413,10/01/2019 06:14:30,1569921267.64,13505,False,,632923,,1,670,2219,41,False,1569921883.92,1569923041.66,100,1569921883.92,1569921883.92,None,3.25 miles,
441412,10/01/2019 06:14:13,1569921252.32,53570,False,None,632922,,1,670,2219,44,False,1569921524.65,1569922619.11,1,1569921524.65,1569921524.65,None,3.44 miles,
441411,10/01/2019 06:14:02,1569921240.66,53518,False,None,632921,,1,940,2219,33,False,1569921879.11,1569923267.37,147,1569921879.11,1569921879.11,None,4.79 miles,
441410,10/01/2019 06:13:43,1569921221.33,53378,False,,632920,,1,860,2219,32,False,1569921665.42,1569922850.28,42,1569921665.42,1569921665.42,None,3.76 miles,
441409,10/01/2019 06:13:38,1569921216.38,33,False,None,632919,,1,470,2219,32,False,1569921524.87,1569921995.57,24,1569921524.87,1569921524.87,None,1.52 miles,
441408,10/01/2019 06:13:44,1569921212.44,41796,False,,632918,,1,860,2219,51,True,1569921394.44,1569922671.96,182,1569921394.44,1569921394.44,None,4.19 miles,
441407,10/01/2019 06:13:17,1569921195.31,47175,False,None,632916,,1,520,2219,57,False,1569921676.69,1569922644.59,1,1569921676.69,1569921676.69,None,2.66 miles,
441406,10/01/2019 06:13:01,1569921178.96,53593,False,None,632915,,1,940,2219,33,False,1569921678.42,1569923087.03,103,1569921678.42,1569921678.42,None,4.49 miles,
441405,10/01/2019 06:12:47,1569921164.52,40495,False,,632913,,1,860,2219,26,False,1569921536.29,1569922715.5,216,1569921536.29,1569921536.29,None,4.02 miles,
441404,10/01/2019 06:12:09,1569921127.6,41638,False,,632912,,1,520,2219,54,False,1569921353.6,1569922237.88,226,1569921353.6,1569921353.6,None,2.74 miles,
441403,10/01/2019 06:11:59,1569921112.5,13634,False,,632911,,1,670,2219,27,True,1569921889.85,1569922950.41,151,1569921889.85,1569921889.85,None,3.12 miles,
441402,10/01/2019 06:11:43,1569921092.81,43813,False,,632910,,1,520,2219,56,True,1569921388.87,1569922173.7,38,1569921388.87,1569921388.87,None,2.68 miles,
441401,10/01/2019 06:11:33,1569921086.36,31854,False,,632909,,1,940,2219,52,True,1569921875.1,1569923057.7,205,1569921875.1,1569921875.1,None,4.71 miles,
441400,10/01/2019 06:11:15,1569921066.09,21178,False,,632908,,1,520,2219,47,True,1569921521.48,1569922362.82,156,1569921521.48,1569921521.48,None,2.65 miles,
441399,10/01/2019 06:10:57,1569921055.74,13505,False,,632907,,1,670,2219,52,False,1569921523.56,1569922681.3,106,1569921523.56,1569921523.56,None,3.25 miles,
441398,10/01/2019 06:10:53,1569921052.44,48326,False,,632906,,1,520,2219,47,False,1569921304.43,1569922113.01,215,1569921304.43,1569921304.43,None,2.94 miles,
441397,10/01/2019 06:10:51,1569921028.66,29988,False,,632905,,1,860,2219,34,True,1569921392.83,1569922683.91,199,1569921392.83,1569921392.83,None,4.17 miles,
441396,10/01/2019 06:10:27,1569921024.34,51255,False,,632904,,1,670,2219,57,False,1569921586.68,1569922511.64,157,1569921586.68,1569921586.68,None,3.61 miles,
441395,10/01/2019 06:10:27,1569921023.6,40495,False,,632903,,1,860,2219,43,False,1569921252.83,1569922432.04,216,1569921252.83,1569921252.83,None,4.02 miles,
441394,10/01/2019 06:10:12,1569921009.26,381,False,,632902,,1,500,2219,41,False,1569921258.34,1569921776.5,230,1569921258.34,1569921258.34,None,2.21 miles,
441393,10/01/2019 06:10:14,1569920992.47,32792,False,,632901,,1,520,2219,48,True,1569921285.14,1569922030.43,147,1569921285.14,1569921285.14,None,3.04 miles,
441392,10/01/2019 06:09:53,1569920992.4,29988,False,,632900,,1,860,2219,34,False,1569921356.57,1569922647.65,199,1569921356.57,1569921356.57,None,4.17 miles,
441391,10/01/2019 06:09:53,1569920986.65,26832,False,,632899,,1,520,2219,53,True,1569921601.37,1569922463.05,76,1569921601.37,1569921601.37,None,2.62 miles,
441390,10/01/2019 06:09:45,1569920969.5,53465,False,None,632898,,2,910,2219,44,True,1569921149.5,1569922340.01,3,1569921149.5,1569921149.5,None,4.15 miles,
441389,10/01/2019 06:09:27,1569920966.11,3169,False,,632897,,1,1140,2219,42,True,1569921441.84,1569923160.06,35,1569921441.84,1569921441.84,None,5.55 miles,
441388,10/01/2019 06:09:25,1569920960.98,3169,False,,632897,,1,1140,2219,50,False,1569921254.85,1569922973.07,35,1569921254.85,1569921254.85,None,5.55 miles,
441387,10/01/2019 06:09:22,1569920952.51,46705,False,,632896,,1,1180,2219,50,True,1569921273.15,1569923089.68,47,1569921273.15,1569921273.15,None,6.13 miles,
441386,10/01/2019 06:08:53,1569920910.85,46033,False,,632895,,1,520,2219,49,True,1569921235.22,1569922317.25,11,1569921235.22,1569921235.22,None,2.93 miles,
441385,10/01/2019 06:08:32,1569920905.83,46705,False,,632894,,1,1180,2219,29,True,1569921229.96,1569923168.19,201,1569921229.96,1569921229.96,None,6.13 miles,
441384,10/01/2019 06:08:24,1569920902.64,3169,False,,632893,,1,1140,2219,50,False,1569921117.12,1569922835.34,35,1569921117.12,1569921117.12,None,5.55 miles,
441383,10/01/2019 06:08:41,1569920898.91,46911,False,,632892,,1,430,2219,28,True,1569921183.55,1569921590.97,68,1569921183.55,1569921183.55,None,1.12 miles,
441382,10/01/2019 06:08:10,1569920889.43,53465,False,None,632891,,2,910,2219,44,False,1569921069.43,1569922259.94,3,1569921069.43,1569921069.43,None,4.15 miles,
441381,10/01/2019 06:07:42,1569920860.7,33,False,None,632888,,1,470,2219,32,False,1569921169.19,1569921639.89,24,1569921169.19,1569921169.19,None,1.52 miles,
441380,10/01/2019 06:07:16,1569920834.52,52474,False,,632885,,2,910,2219,28,False,1569921075.84,1569922333.02,167,1569921075.84,1569921075.84,None,4.05 miles,
441379,10/01/2019 06:07:13,1569920831.97,53465,False,None,632884,,2,910,2219,41,False,1569920976.01,1569922166.52,3,1569920976.01,1569920976.01,None,4.15 miles,
441378,10/01/2019 06:06:49,1569920803.31,40506,False,,632883,,1,1140,2219,29,True,1569921020.31,1569922595.02,217,1569921020.31,1569921020.31,None,5.33 miles,
441377,10/01/2019 06:06:14,1569920773.55,53465,False,None,632882,,1,860,2219,41,False,1569920915.39,1569922105.9,3,1569920915.39,1569920915.39,None,4.15 miles,
