Whitelist id,Intersection id,Intersection name,Short description,Street,Number,Corner,Place of business,Bearing,Latitude,Longitude,Service id,Service name,Street view
15856,3404, & ,,,,NE,,-10.6405,-16.719047,-49.293276,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.719047,-49.293276,-10.6405h,0p,1z"
15858,3405, & ,,,,SW,,-170.124,-16.735199,-49.27987,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.735199,-49.27987,-170.124h,0p,1z"
15878,3415, & ,,,,SE,,78.6764,-16.715841,-49.282506,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.715841,-49.282506,78.6764h,0p,1z"
15879,3415, & ,,,,SW,,171.188,-16.715933,-49.282727,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.715933,-49.282727,171.188h,0p,1z"
15880,3416, & ,,,,SW,,-177.332,-16.720771,-49.275846,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.720771,-49.275846,-177.332h,0p,1z"
15882,3416, & ,,,,SE,,79.7733,-16.720702,-49.275637,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.720702,-49.275637,79.7733h,0p,1z"
15883,3417, & ,,,,SE,,127.149,-16.727416,-49.27405,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.727416,-49.27405,127.149h,0p,1z"
15885,3417, & ,,,,NW,,-50.7227,-16.727203,-49.274185,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.727203,-49.274185,-50.7227h,0p,1z"
15898,3423, & ,,,,NW,,-25.352,-16.730332,-49.279882,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.730332,-49.279882,-25.352h,0p,1z"
15901,3424, & ,,,,SE,,79.8622,-16.711605,-49.280937,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.711605,-49.280937,79.8622h,0p,1z"
15907,3426, & ,,,,NW,,-15.8606,-16.722969,-49.291539,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.722969,-49.291539,-15.8606h,0p,1z"
15909,3427, & ,,,,NE,,9.22892,-16.736709,-49.272851,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.736709,-49.272851,9.22892h,0p,1z"
15913,3429, & ,,,,NE,,52.9796,-16.709556,-49.273774,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.709556,-49.273774,52.9796h,0p,1z"
15920,3431, & ,,,,NW,,-57.4691,-16.724113,-49.272388,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.724113,-49.272388,-57.4691h,0p,1z"
15926,3433, & ,,,,SE,,121.39,-16.730625,-49.285194,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.730625,-49.285194,121.39h,0p,1z"
15928,3434, & ,,,,NW,,-99.8956,-16.71795,-49.286649,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.71795,-49.286649,-99.8956h,0p,1z"
15930,3434, & ,,,,SW,,170.962,-16.718084,-49.28655,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.718084,-49.28655,170.962h,0p,1z"
15931,3435, & ,,,,NW,,-100.402,-16.72165,-49.273306,13,gyn_expansion_Amazonia,"https://www.instantstreetview.com/@-16.72165,-49.273306,-100.402h,0p,1z"
