	VAN_ID	DAY	METHOD	CLIENT_DISTANCE_COST	CLIENT_DURATION_COST	OPERATOR_DISTANCE_COST	OPERATOR_DURATION_COST
17	34	7	GA 2	9.466600000000001	113.98499999999999	299.63480000000004	415.8616666666667
18	45	7	GA 2	6.9164	83.35833333333333	254.39129999999997	357.925
19	32	7	GA 2	7.4883999999999995	90.54333333333332	280.2729	386.0683333333334
20	56	7	GA 2	5.4468000000000005	65.70333333333333	265.70619999999997	363.19166666666655
21	25	7	GA 2	7.5119	90.44166666666668	263.74960000000004	356.77333333333337
22	31	7	GA 2	4.9824	60.033333333333324	224.6482	304.40833333333336
23	43	7	GA 2	5.8559	70.64	240.16189999999997	327.1600000000001
24	35	7	GA 2	4.7286	57.14333333333334	183.1157	257.69
25	27	7	GA 2	6.2182	74.95	255.51279999999997	353.7633333333334
26	46	7	GA 2	7.7456000000000005	93.22833333333332	268.69689999999997	373.7716666666668
27	52	7	GA 2	5.4228	65.34833333333334	238.0776	333.41333333333336
28	28	7	GA 2	4.261500000000001	51.39166666666667	200.141	267.54999999999995
29	33	7	GA 2	6.1065000000000005	73.67500000000003	261.7445	362.17166666666674
30	51	7	GA 2	7.212400000000001	87.06	259.9874	357.20833333333337
31	36	7	GA 2	2.899	34.818333333333335	137.1991	180.67499999999998
0	63	21	GA 0	7.6839	92.65833333333335	272.02449999999993	376.96833333333336
1	58	21	GA 0	6.2768000000000015	75.57666666666667	259.54900000000004	350.7766666666667
2	54	21	GA 0	7.223499999999999	87.17333333333333	263.9226	380.81
3	42	21	GA 0	7.4308	89.46500000000002	289.6066	408.9766666666667
4	62	21	GA 0	4.623	55.73833333333334	187.0924	257.17333333333335
5	40	21	GA 0	5.3762	65.10166666666667	231.51330000000002	320.45166666666665
6	38	21	GA 0	4.6229	55.644999999999996	220.21159999999998	305.08666666666664
7	26	21	GA 0	5.6714	68.32333333333332	250.85169999999997	349.37
8	55	21	GA 0	6.8431999999999995	82.475	254.7254	361.895
9	47	21	GA 0	6.463500000000001	78.15	225.08499999999998	305.75166666666667
10	24	21	GA 0	7.3148	88.175	245.81	342.4716666666667
11	57	21	GA 0	8.5655	102.96166666666666	257.94460000000004	353.1416666666667
12	23	21	GA 0	5.1921	62.571666666666665	213.10639999999998	290.3083333333334
13	60	21	GA 0	6.0081999999999995	72.47	245.75259999999997	341.3816666666666
14	61	21	GA 0	6.4671	78.10333333333334	253.5274	345.71999999999997
15	44	21	GA 0	5.4615	65.77166666666666	231.26749999999998	310.6716666666667
16	50	21	GA 0	6.9446	83.63666666666667	240.3879	340.0466666666667
17	29	21	GA 0	6.975899999999999	84.21166666666667	276.20480000000003	374.6933333333333
18	49	21	GA 0	6.130199999999999	74.02000000000002	263.934	355.60666666666674
19	53	21	GA 0	5.934999999999999	71.50333333333332	241.6127	324.54
20	48	21	GA 0	6.9578999999999995	84.04166666666667	221.8399	312.46333333333325
21	34	21	GA 0	7.833900000000001	94.60333333333332	252.6374	342.1433333333334
22	45	21	GA 0	6.000200000000001	72.13833333333335	251.39679999999998	345.02
23	32	21	GA 0	2.9212999999999996	35.18833333333333	105.5131	147.63333333333333
24	56	21	GA 0	6.9247000000000005	83.22	253.9515	344.40500000000003
25	25	21	GA 0	5.751499999999999	69.09	253.399	343.6583333333333
26	59	21	GA 0	5.7519	69.38	201.9334	281.19666666666666
27	43	21	GA 0	6.042	72.94666666666666	247.48290000000003	336.1816666666667
28	31	21	GA 0	5.6423000000000005	68.22166666666666	247.86519999999996	340.835
29	35	21	GA 0	3.4802000000000004	42.09499999999999	143.0766	193.915
30	27	21	GA 0	6.0792	73.30166666666668	226.36780000000002	312.5666666666667
31	46	21	GA 0	6.9397	83.49166666666667	259.36139999999995	354.54999999999995
32	52	21	GA 0	5.805	70.08333333333334	220.8891	306.63500000000005
33	28	21	GA 0	5.2146	62.955	230.92940000000002	315.6916666666666
34	33	21	GA 0	8.812899999999999	106.37833333333333	294.8002	407.8566666666666
35	51	21	GA 0	7.394	89.325	250.27740000000003	347.91499999999996
36	36	21	GA 0	7.492500000000001	90.21333333333335	262.70380000000006	376.74
37	41	21	GA 0	6.100300000000001	73.45666666666666	229.5727	318.5466666666667
0	54	14	GA 2	7.106000000000001	85.71500000000002	266.40080000000006	363.42500000000007
1	58	14	GA 2	6.5511	78.85	234.006	325.14833333333337
2	42	14	GA 2	5.1693999999999996	62.35666666666667	216.47310000000002	291.6883333333333
3	62	14	GA 2	5.825499999999999	70.22833333333335	231.7472	309.44999999999993
4	40	14	GA 2	6.2791	75.81666666666666	226.7681	311.0266666666667
5	38	14	GA 2	4.7219999999999995	57.028333333333336	237.6961	323.91499999999996
6	26	14	GA 2	5.2391	62.971666666666664	224.8577	297.8066666666666
7	47	14	GA 2	5.5477	66.83833333333334	226.41420000000005	298.91499999999996
8	55	14	GA 2	5.785900000000001	69.90166666666669	182.7014	245.95833333333337
9	24	14	GA 2	6.7659	81.42666666666668	245.86209999999994	334.35499999999996
10	57	14	GA 2	6.7348	81.415	243.0502	334.44666666666666
11	23	14	GA 2	5.502800000000001	66.21666666666665	231.432	320.59499999999997
12	60	14	GA 2	5.7113	69.00833333333333	218.7721	296.2699999999999
13	61	14	GA 2	7.5373	90.71499999999999	258.2409	354.15
14	44	14	GA 2	5.6904	68.59166666666665	233.69070000000002	322.245
15	50	14	GA 2	6.4939	78.23666666666666	211.02870000000001	288.21500000000003
16	29	14	GA 2	6.277900000000001	75.82499999999999	205.1088	277.6783333333334
17	30	14	GA 2	7.1026	85.73666666666666	217.5203	306.2533333333333
18	49	14	GA 2	7.6884	92.69999999999999	250.23399999999998	353.4333333333333
19	53	14	GA 2	5.7864	69.57666666666667	234.5887	319.1816666666667
20	48	14	GA 2	6.1303	73.99666666666667	251.7547	342.17666666666673
21	34	14	GA 2	7.048699999999999	84.85333333333334	234.976	329.34833333333336
22	45	14	GA 2	6.5342	79.00999999999999	222.68409999999997	296.76499999999993
23	32	14	GA 2	5.298	63.94500000000001	214.2431	291.1000000000001
24	56	14	GA 2	6.92	83.42333333333333	243.7019	336.78833333333324
25	25	14	GA 2	6.081499999999999	73.30833333333334	239.03269999999998	317.63500000000005
26	59	14	GA 2	5.3435999999999995	64.43666666666665	215.13070000000002	289.58833333333337
27	31	14	GA 2	6.923	83.795	261.0224	372.4683333333333
28	43	14	GA 2	5.3838	64.86	225.15550000000005	304.72666666666663
29	35	14	GA 2	6.4077	77.29333333333334	238.8341	323.53666666666663
30	27	14	GA 2	6.0374	73.01500000000001	222.9974	310.4533333333333
31	46	14	GA 2	6.4007	77.165	235.4376	319.69
32	52	14	GA 2	4.7585999999999995	57.32666666666667	201.0463	275.5183333333333
33	28	14	GA 2	3.0776	37.26833333333333	170.0322	232.01333333333332
34	33	14	GA 2	5.4695	65.92833333333334	217.8464	304.51500000000004
35	51	14	GA 2	6.9418999999999995	83.57166666666667	256.9174	344.1
36	36	14	GA 2	4.611599999999999	55.80666666666667	167.6661	222.56333333333333
0	58	15	GA 2	8.0493	96.95166666666667	268.37669999999997	386.7416666666667
1	54	15	GA 2	6.2782	75.56833333333334	252.669	346.11333333333334
2	42	15	GA 2	5.9536	71.82333333333334	277.4389	371.79999999999995
3	62	15	GA 2	6.431	77.35833333333332	224.62779999999998	305.09999999999997
4	40	15	GA 2	6.3308	76.21999999999998	224.7924	311.0333333333333
5	38	15	GA 2	6.227399999999999	75.07499999999999	260.3971	365.06166666666667
6	26	15	GA 2	5.3946	65.02666666666666	211.41609999999997	279.105
